Date,Product,Location,Quantity,Revenue
2023-01-09,Cappuccino,Downtown,3,12.0
2023-01-09,Mocha,Downtown,4,20.0
2023-01-09,Americano,Suburb,4,14.0
2023-01-09,Espresso,Downtown,4,12.0
2023-01-09,Espresso,Downtown,4,12.0
2023-01-09,Cappuccino,Uptown,3,12.0
2023-01-09,Espresso,Uptown,5,15.0
2023-01-09,Espresso,Suburb,1,3.0
2023-01-09,Americano,Downtown,1,3.5
2023-01-09,Cappuccino,Suburb,4,16.0
2023-01-09,Mocha,Suburb,2,10.0
2023-01-09,Mocha,Suburb,4,20.0
2023-01-09,Mocha,Downtown,1,5.0
2023-01-09,Espresso,Downtown,4,12.0
2023-01-09,Cappuccino,Uptown,5,20.0
2023-01-09,Espresso,Uptown,5,15.0
2023-01-09,Americano,Uptown,4,14.0
2023-01-09,Americano,Uptown,3,10.5
2023-01-09,Mocha,Uptown,3,15.0
2023-01-09,Espresso,Downtown,1,3.0
2023-01-09,Cappuccino,Uptown,1,4.0
2023-01-09,Americano,Suburb,2,7.0
2023-01-09,Cappuccino,Downtown,4,16.0
2023-01-09,Espresso,Suburb,5,15.0
2023-01-09,Americano,Suburb,3,10.5
2023-01-09,Latte,Downtown,3,13.5
2023-01-09,Cappuccino,Uptown,2,8.0
2023-01-09,Espresso,Downtown,5,15.0
2023-01-09,Cappuccino,Uptown,1,4.0
2023-01-09,Latte,Suburb,3,13.5
2023-01-09,Cappuccino,Suburb,4,16.0
2023-01-09,Latte,Downtown,5,22.5
2023-01-09,Espresso,Uptown,4,12.0
2023-01-09,Mocha,Uptown,2,10.0
2023-01-09,Latte,Uptown,4,18.0
2023-01-09,Latte,Downtown,4,18.0
2023-01-09,Mocha,Downtown,5,25.0
2023-01-09,Latte,Downtown,2,9.0
2023-01-09,Americano,Uptown,1,3.5
2023-01-09,Cappuccino,Downtown,5,20.0
2023-01-09,Mocha,Suburb,5,25.0
2023-01-09,Americano,Downtown,5,17.5
2023-01-09,Mocha,Uptown,4,20.0
2023-01-09,Espresso,Suburb,4,12.0
2023-01-09,Espresso,Suburb,5,15.0
2023-01-09,Latte,Suburb,1,4.5
2023-01-09,Cappuccino,Suburb,2,8.0
2023-01-10,Latte,Downtown,2,9.0
2023-01-10,Cappuccino,Suburb,1,4.0
2023-01-10,Cappuccino,Downtown,4,16.0
2023-01-10,Mocha,Suburb,5,25.0
2023-01-10,Mocha,Uptown,1,5.0
2023-01-10,Cappuccino,Uptown,3,12.0
2023-01-10,Mocha,Downtown,2,10.0
2023-01-10,Espresso,Suburb,5,15.0
2023-01-10,Cappuccino,Uptown,1,4.0
2023-01-10,Americano,Downtown,2,7.0
2023-01-10,Espresso,Downtown,1,3.0
2023-01-10,Latte,Downtown,3,13.5
2023-01-10,Americano,Suburb,5,17.5
2023-01-10,Espresso,Uptown,1,3.0
2023-01-10,Mocha,Suburb,3,15.0
2023-01-10,Mocha,Uptown,5,25.0
2023-01-10,Americano,Uptown,4,14.0
2023-01-10,Latte,Suburb,1,4.5
2023-01-10,Mocha,Suburb,3,15.0
2023-01-10,Americano,Uptown,1,3.5
2023-01-10,Latte,Downtown,5,22.5
2023-01-10,Americano,Downtown,3,10.5
2023-01-10,Americano,Downtown,2,7.0
2023-01-10,Mocha,Suburb,4,20.0
2023-01-10,Espresso,Downtown,5,15.0
2023-01-10,Mocha,Suburb,4,20.0
2023-01-10,Latte,Uptown,3,13.5
2023-01-10,Mocha,Uptown,3,15.0
2023-01-11,Latte,Downtown,3,13.5
2023-01-11,Mocha,Suburb,4,20.0
2023-01-11,Espresso,Suburb,4,12.0
2023-01-11,Americano,Downtown,4,14.0
2023-01-11,Latte,Uptown,3,13.5
2023-01-11,Espresso,Downtown,4,12.0
2023-01-11,Americano,Downtown,5,17.5
2023-01-11,Mocha,Uptown,1,5.0
2023-01-11,Cappuccino,Suburb,3,12.0
2023-01-11,Americano,Uptown,4,14.0
2023-01-11,Latte,Downtown,3,13.5
2023-01-11,Americano,Downtown,3,10.5
2023-01-11,Mocha,Suburb,4,20.0
2023-01-11,Latte,Downtown,5,22.5
2023-01-11,Cappuccino,Suburb,2,8.0
2023-01-11,Espresso,Suburb,1,3.0
2023-01-11,Americano,Uptown,1,3.5
2023-01-11,Cappuccino,Downtown,4,16.0
2023-01-11,Latte,Suburb,2,9.0
2023-01-11,Mocha,Suburb,3,15.0
2023-01-11,Americano,Suburb,3,10.5
2023-01-11,Mocha,Uptown,4,20.0
2023-01-11,Cappuccino,Uptown,5,20.0
2023-01-11,Cappuccino,Uptown,2,8.0
2023-01-11,Americano,Suburb,2,7.0
2023-01-11,Latte,Uptown,4,18.0
2023-01-11,Espresso,Suburb,3,9.0
2023-01-11,Latte,Uptown,3,13.5
2023-01-11,Americano,Suburb,4,14.0
2023-01-11,Cappuccino,Uptown,5,20.0
2023-01-11,Mocha,Uptown,3,15.0
2023-01-11,Americano,Suburb,4,14.0
2023-01-11,Mocha,Uptown,2,10.0
2023-01-11,Cappuccino,Suburb,4,16.0
2023-01-11,Cappuccino,Uptown,1,4.0
2023-01-11,Espresso,Suburb,4,12.0
2023-01-11,Mocha,Uptown,2,10.0
2023-01-11,Mocha,Downtown,2,10.0
2023-01-11,Americano,Suburb,3,10.5
2023-01-11,Latte,Uptown,1,4.5
2023-01-11,Americano,Uptown,1,3.5
2023-01-12,Cappuccino,Uptown,2,8.0
2023-01-12,Latte,Uptown,3,13.5
2023-01-12,Espresso,Suburb,4,12.0
2023-01-12,Latte,Uptown,5,22.5
2023-01-12,Mocha,Uptown,4,20.0
2023-01-12,Americano,Downtown,5,17.5
2023-01-12,Latte,Downtown,3,13.5
2023-01-12,Cappuccino,Suburb,1,4.0
2023-01-12,Mocha,Downtown,1,5.0
2023-01-12,Mocha,Downtown,3,15.0
2023-01-12,Latte,Downtown,3,13.5
2023-01-12,Latte,Uptown,3,13.5
2023-01-12,Espresso,Uptown,2,6.0
2023-01-12,Cappuccino,Suburb,4,16.0
2023-01-12,Americano,Suburb,2,7.0
2023-01-12,Cappuccino,Downtown,1,4.0
2023-01-12,Americano,Uptown,5,17.5
2023-01-12,Cappuccino,Uptown,5,20.0
2023-01-12,Cappuccino,Downtown,4,16.0
2023-01-12,Espresso,Uptown,3,9.0
2023-01-12,Latte,Uptown,3,13.5
2023-01-12,Americano,Downtown,1,3.5
2023-01-12,Mocha,Uptown,5,25.0
2023-01-12,Espresso,Suburb,4,12.0
2023-01-12,Espresso,Uptown,3,9.0
2023-01-12,Cappuccino,Uptown,4,16.0
2023-01-12,Latte,Downtown,4,18.0
2023-01-12,Americano,Uptown,5,17.5
2023-01-12,Espresso,Suburb,3,9.0
2023-01-12,Latte,Suburb,4,18.0
2023-01-12,Espresso,Downtown,5,15.0
2023-01-12,Latte,Suburb,4,18.0
2023-01-12,Espresso,Downtown,5,15.0
2023-01-12,Espresso,Downtown,2,6.0
2023-01-12,Americano,Uptown,2,7.0
2023-01-12,Latte,Suburb,1,4.5
2023-01-12,Espresso,Uptown,1,3.0
2023-01-12,Americano,Uptown,2,7.0
2023-01-12,Latte,Uptown,3,13.5
2023-01-12,Mocha,Downtown,2,10.0
2023-01-12,Cappuccino,Suburb,3,12.0
2023-01-12,Americano,Suburb,3,10.5
2023-01-12,Cappuccino,Uptown,4,16.0
2023-01-13,Espresso,Suburb,3,9.0
2023-01-13,Latte,Uptown,1,4.5
2023-01-13,Cappuccino,Downtown,4,16.0
2023-01-13,Americano,Uptown,1,3.5
2023-01-13,Mocha,Downtown,3,15.0
2023-01-13,Americano,Downtown,4,14.0
2023-01-13,Espresso,Suburb,3,9.0
2023-01-13,Americano,Uptown,3,10.5
2023-01-13,Latte,Suburb,2,9.0
2023-01-13,Mocha,Downtown,5,25.0
2023-01-13,Americano,Uptown,5,17.5
2023-01-13,Cappuccino,Suburb,1,4.0
2023-01-13,Mocha,Suburb,3,15.0
2023-01-13,Mocha,Downtown,2,10.0
2023-01-13,Latte,Downtown,3,13.5
2023-01-13,Mocha,Downtown,1,5.0
2023-01-13,Cappuccino,Suburb,2,8.0
2023-01-13,Mocha,Uptown,3,15.0
2023-01-13,Americano,Uptown,5,17.5
2023-01-13,Cappuccino,Uptown,1,4.0
2023-01-13,Mocha,Suburb,4,20.0
2023-01-13,Espresso,Downtown,3,9.0
2023-01-13,Cappuccino,Uptown,4,16.0
2023-01-13,Cappuccino,Uptown,1,4.0
2023-01-13,Espresso,Suburb,3,9.0
2023-01-13,Latte,Uptown,3,13.5
2023-01-13,Cappuccino,Downtown,4,16.0
2023-01-13,Latte,Suburb,2,9.0
2023-01-13,Americano,Downtown,1,3.5
2023-01-13,Espresso,Downtown,2,6.0
2023-01-13,Americano,Downtown,1,3.5
2023-01-13,Americano,Downtown,5,17.5
2023-01-13,Cappuccino,Downtown,3,12.0
2023-01-13,Cappuccino,Suburb,1,4.0
2023-01-13,Espresso,Downtown,2,6.0
2023-01-13,Americano,Uptown,2,7.0
2023-01-13,Latte,Suburb,1,4.5
2023-01-13,Cappuccino,Downtown,3,12.0
2023-01-13,Cappuccino,Suburb,3,12.0
2023-01-13,Latte,Downtown,3,13.5
2023-01-13,Latte,Downtown,4,18.0
2023-01-13,Americano,Downtown,1,3.5
2023-01-13,Mocha,Uptown,3,15.0
2023-01-13,Americano,Suburb,1,3.5
2023-01-13,Mocha,Suburb,2,10.0
2023-01-13,Americano,Downtown,5,17.5
2023-01-13,Espresso,Uptown,1,3.0
2023-01-13,Latte,Uptown,4,18.0
2023-01-13,Mocha,Suburb,1,5.0
2023-01-13,Mocha,Suburb,4,20.0
2023-01-14,Latte,Uptown,5,22.5
2023-01-14,Cappuccino,Downtown,2,8.0
2023-01-14,Espresso,Suburb,5,15.0
2023-01-14,Americano,Suburb,3,10.5
2023-01-14,Mocha,Suburb,5,25.0
2023-01-14,Espresso,Uptown,5,15.0
2023-01-14,Americano,Uptown,1,3.5
2023-01-14,Latte,Suburb,5,22.5
2023-01-14,Cappuccino,Uptown,4,16.0
2023-01-14,Cappuccino,Uptown,3,12.0
2023-01-14,Mocha,Uptown,4,20.0
2023-01-14,Latte,Uptown,4,18.0
2023-01-14,Espresso,Suburb,3,9.0
2023-01-14,Espresso,Downtown,4,12.0
2023-01-14,Latte,Downtown,1,4.5
2023-01-14,Latte,Uptown,1,4.5
2023-01-14,Espresso,Downtown,5,15.0
2023-01-14,Latte,Suburb,5,22.5
2023-01-14,Americano,Uptown,1,3.5
2023-01-14,Mocha,Uptown,4,20.0
2023-01-14,Latte,Uptown,5,22.5
2023-01-14,Espresso,Uptown,1,3.0
2023-01-15,Americano,Downtown,2,7.0
2023-01-15,Mocha,Downtown,1,5.0
2023-01-15,Espresso,Suburb,3,9.0
2023-01-15,Latte,Uptown,5,22.5
2023-01-15,Cappuccino,Uptown,5,20.0
2023-01-15,Americano,Suburb,5,17.5
2023-01-15,Latte,Suburb,3,13.5
2023-01-15,Latte,Downtown,3,13.5
2023-01-15,Espresso,Uptown,3,9.0
2023-01-15,Latte,Downtown,2,9.0
2023-01-15,Americano,Suburb,4,14.0
2023-01-15,Latte,Downtown,1,4.5
2023-01-15,Latte,Suburb,5,22.5
2023-01-15,Cappuccino,Uptown,4,16.0
2023-01-15,Mocha,Uptown,2,10.0
2023-01-15,Espresso,Uptown,3,9.0
2023-01-15,Americano,Suburb,1,3.5
2023-01-15,Latte,Downtown,2,9.0
2023-01-15,Americano,Downtown,1,3.5
2023-01-15,Espresso,Uptown,4,12.0
2023-01-15,Mocha,Suburb,4,20.0
2023-01-15,Mocha,Uptown,2,10.0
2023-01-15,Americano,Downtown,3,10.5
2023-01-15,Mocha,Downtown,3,15.0
2023-01-15,Americano,Uptown,5,17.5
2023-01-15,Espresso,Downtown,2,6.0
2023-01-15,Mocha,Suburb,1,5.0
2023-01-15,Latte,Downtown,3,13.5
2023-01-15,Cappuccino,Downtown,3,12.0
2023-01-15,Espresso,Uptown,1,3.0
2023-01-15,Latte,Uptown,4,18.0
2023-01-15,Cappuccino,Downtown,4,16.0
2023-01-15,Americano,Suburb,2,7.0
2023-01-15,Americano,Suburb,3,10.5
2023-01-15,Latte,Uptown,1,4.5
2023-01-15,Mocha,Downtown,4,20.0
2023-01-15,Latte,Uptown,5,22.5
2023-01-15,Mocha,Suburb,4,20.0
2023-01-16,Mocha,Uptown,1,5.0
2023-01-16,Mocha,Downtown,3,15.0
2023-01-16,Cappuccino,Suburb,4,16.0
2023-01-16,Espresso,Downtown,4,12.0
2023-01-16,Latte,Downtown,4,18.0
2023-01-16,Americano,Uptown,5,17.5
2023-01-16,Latte,Uptown,3,13.5
2023-01-16,Espresso,Downtown,3,9.0
2023-01-16,Cappuccino,Downtown,5,20.0
2023-01-16,Latte,Suburb,5,22.5
2023-01-16,Cappuccino,Uptown,3,12.0
2023-01-16,Cappuccino,Downtown,1,4.0
2023-01-16,Cappuccino,Uptown,2,8.0
2023-01-16,Cappuccino,Suburb,2,8.0
2023-01-16,Latte,Downtown,4,18.0
2023-01-16,Mocha,Suburb,5,25.0
2023-01-16,Mocha,Suburb,5,25.0
2023-01-16,Americano,Uptown,3,10.5
2023-01-16,Cappuccino,Uptown,1,4.0
2023-01-16,Mocha,Uptown,3,15.0
2023-01-16,Espresso,Suburb,1,3.0
2023-01-16,Espresso,Suburb,1,3.0
2023-01-16,Espresso,Uptown,4,12.0
2023-01-16,Latte,Downtown,3,13.5
2023-01-16,Espresso,Downtown,1,3.0
2023-01-16,Americano,Suburb,5,17.5
2023-01-16,Mocha,Uptown,5,25.0
2023-01-16,Americano,Suburb,1,3.5
2023-01-16,Mocha,Suburb,2,10.0
2023-01-16,Espresso,Suburb,4,12.0
2023-01-16,Americano,Downtown,1,3.5
2023-01-16,Mocha,Downtown,3,15.0
2023-01-16,Latte,Suburb,2,9.0
2023-01-16,Latte,Downtown,4,18.0
2023-01-16,Mocha,Suburb,5,25.0
2023-01-16,Americano,Downtown,3,10.5
2023-01-16,Espresso,Uptown,4,12.0
2023-01-16,Mocha,Uptown,5,25.0
2023-01-16,Latte,Suburb,3,13.5
2023-01-16,Latte,Uptown,1,4.5
2023-01-16,Americano,Suburb,4,14.0
2023-01-16,Espresso,Uptown,5,15.0
2023-01-17,Cappuccino,Uptown,1,4.0
2023-01-17,Americano,Suburb,2,7.0
2023-01-17,Espresso,Uptown,4,12.0
2023-01-17,Cappuccino,Suburb,1,4.0
2023-01-17,Espresso,Suburb,4,12.0
2023-01-17,Espresso,Downtown,5,15.0
2023-01-17,Latte,Suburb,4,18.0
2023-01-17,Americano,Uptown,1,3.5
2023-01-17,Espresso,Uptown,2,6.0
2023-01-17,Cappuccino,Uptown,4,16.0
2023-01-17,Cappuccino,Downtown,2,8.0
2023-01-17,Cappuccino,Downtown,3,12.0
2023-01-17,Latte,Suburb,5,22.5
2023-01-17,Americano,Downtown,3,10.5
2023-01-17,Americano,Downtown,5,17.5
2023-01-17,Mocha,Downtown,2,10.0
2023-01-17,Cappuccino,Suburb,5,20.0
2023-01-17,Cappuccino,Suburb,4,16.0
2023-01-17,Latte,Uptown,3,13.5
2023-01-17,Cappuccino,Uptown,5,20.0
2023-01-17,Espresso,Suburb,4,12.0
2023-01-17,Cappuccino,Suburb,2,8.0
2023-01-17,Espresso,Uptown,2,6.0
2023-01-17,Espresso,Suburb,5,15.0
2023-01-17,Mocha,Uptown,3,15.0
2023-01-17,Mocha,Suburb,5,25.0
2023-01-17,Mocha,Downtown,2,10.0
2023-01-17,Americano,Downtown,3,10.5
2023-01-17,Latte,Suburb,4,18.0
2023-01-17,Espresso,Suburb,1,3.0
2023-01-17,Americano,Downtown,3,10.5
2023-01-17,Latte,Downtown,3,13.5
2023-01-17,Mocha,Suburb,2,10.0
2023-01-17,Mocha,Downtown,2,10.0
2023-01-17,Mocha,Uptown,1,5.0
2023-01-17,Mocha,Downtown,4,20.0
2023-01-17,Americano,Uptown,2,7.0
2023-01-17,Mocha,Downtown,3,15.0
2023-01-17,Cappuccino,Downtown,3,12.0
2023-01-17,Latte,Suburb,3,13.5
2023-01-17,Cappuccino,Downtown,1,4.0
2023-01-17,Espresso,Uptown,2,6.0
2023-01-17,Mocha,Uptown,5,25.0
2023-01-17,Latte,Downtown,1,4.5
2023-01-17,Espresso,Downtown,2,6.0
2023-01-17,Americano,Suburb,5,17.5
2023-01-17,Americano,Uptown,1,3.5
